benchmark_parent_label,first_date,n_variant,n_row_sum,n_row_min,n_row_max,n_row_mean,n_unique_paper_sum,n_paper_min,n_paper_max,n_paper_mean,n_tasks,tasks,url,cumsum
SemEval 2014 Task 4 Subtask 1+2,2018-11-13,1,7,7,7,7.0,7,7.0,7.0,7.0,1,{'Sentiment Analysis'},,208
CoNLL Spanish,2018-10-08,1,9,9,9,9.0,6,6.0,6.0,6.0,1,{'Cross-Lingual NER'},,170
SemEval 2018 Task 10,2018-04-30,1,6,6,6,6.0,6,6.0,6.0,6.0,1,{'Relation Extraction'},,176
SNIPS,2018-06-01,1,7,7,7,7.0,5,5.0,5.0,5.0,1,{'Intent Detection'},https://paperswithcode.com/dataset/snips,154
CMU-MOSEI,2018-07-01,1,4,4,4,4.0,4,4.0,4.0,4.0,1,{'Multimodal Sentiment Analysis'},https://paperswithcode.com/dataset/cmu-mosei,124
SWAG,2018-08-16,1,6,6,6,6.0,4,4.0,4.0,4.0,1,{'Common Sense Reasoning'},https://paperswithcode.com/dataset/swag,100
SciCite,2018-01-01,2,10,2,8,5.0,4,1.0,4.0,2.5,2,"{'Sentence Classification', 'Citation Intent Classification'}",https://paperswithcode.com/dataset/scicite,120
DeepFix,2018-01-31,1,4,4,4,4.0,4,4.0,4.0,4.0,1,{'Program Repair'},https://paperswithcode.com/dataset/deepfix,128
PMB-3.0.0,2018-10-30,1,3,3,3,3.0,3,3.0,3.0,3.0,1,{'DRS Parsing'},,75
SemEval 2015 Task 13,2018-05-21,1,6,6,6,6.0,3,3.0,3.0,3.0,1,{'Word Sense Disambiguation'},,90
RuSentiment,2018-08-01,1,3,3,3,3.0,3,3.0,3.0,3.0,1,{'Sentiment Analysis'},,93
Automatic Misogynistic Identification,2018-12-17,1,2,2,2,2.0,2,2.0,2.0,2.0,1,{'Hate Speech Detection'},,40
WebQSP-WD,2018-04-23,1,2,2,2,2.0,2,2.0,2.0,2.0,2,"{'Entity Linking', 'Knowledge Base Question Answering'}",,38
MedSTS,2018-10-22,1,5,5,5,5.0,2,2.0,2.0,2.0,2,"{'Semantic Similarity Estimation', 'Sentence Embeddings For Biomedical Texts'}",,60
IPM NEL,2018-08-23,1,2,2,2,2.0,2,2.0,2.0,2.0,1,{'Entity Linking'},https://paperswithcode.com/dataset/ipm-nel,48
SR11Deep,2018-10-23,1,2,2,2,2.0,2,2.0,2.0,2.0,1,{'Data-to-Text Generation'},,64
OKE-2015,2018-08-23,1,1,1,1,1.0,1,1.0,1.0,1.0,1,{'Entity Linking'},,28
ACCURAT balanced test corpus for under resourced languages Estonian-Russian,2018-05-01,1,1,1,1,1.0,1,1.0,1.0,1.0,1,{'Machine Translation'},,32
N3-Reuters-128,2018-08-23,1,1,1,1,1.0,1,1.0,1.0,1.0,1,{'Entity Linking'},,11
